CHEMBL503634	COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O
CHEMBL403325	C[C@H]1CN(CCC(=O)N[C@@H](CCc2ccccc2)C(=O)O)CC[C@@]1(C)c1cccc(O)c1
CHEMBL155287	O=C(NO)c1ccc(I)cc1
CHEMBL1082532	Oc1ccc(/N=C(/Cc2ccc(Cl)cc2)c2ccc(O)c(O)c2O)cc1
CHEMBL263810	Cc1cc(NC(=O)c2cc(Cl)cc(Cl)c2O)ccc1Sc1nc2ccccc2s1
CHEMBL444024	COC(=O)c1cc(CCc2ccc(OC)cc2OC)ccc1O
CHEMBL444368	CN1CCc2cccc3c2[C@H]1Cc1ccc(CO)c(O)c1-3
CHEMBL445177	CCCCCC/C=C\CCCCCCCc1cccc(O)c1C(=O)O
CHEMBL443462	CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2
CHEMBL267832	C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](C(=O)O)C(C)C)cc1
CHEMBL262267	O=C(O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CS)C1CCc2cc(O)ccc21
CHEMBL503559	CCN(CC)Cc1c[nH]c(C)c(O)c1=O
CHEMBL505806	O=C(/C=C/c1ccc(/C=N/OCc2ccccc2)cc1)NO
CHEMBL503400	COc1cnc(-c2ccc(O)c(O)c2)o1
CHEMBL541498	CC(=O)/C=C(\O)c1cccnc1
CHEMBL503469	Cn1cc(C2=C(c3coc4ccccc34)C(=O)NC2=O)c2ccc(O)cc21
CHEMBL500079	CCCCCOc1ccc(Oc2ccc(O)cc2)cc1
CHEMBL503770	C/C=C/CCCC(C)/C(O)=C1\C(=O)[C@H]([C@H](C)O)N(C)C1=O
CHEMBL503802	O=C(O)/C(O)=C/C(=O)c1ccnc2ccccc12
CHEMBL154209	COCCn1cnc2c(O)nc(Nc3ccccc3)nc21
CHEMBL539434	C[C@H](C(=O)NCCc1ccccc1O)c1cccc(Oc2ccccc2)c1
CHEMBL526908	COc1ccc2c(O)cc(OC)c(O)c2c1O
CHEMBL501251	COc1cc(O)cc2c1C(=O)CC(c1ccc(O)cc1)O2
CHEMBL507464	N#Cc1c(N)nc(Sc2ccc(O)cc2)c(C#N)c1-c1ccc(Cl)cc1
CHEMBL504142	O=c1ccc2nccc3c4c(O)cccc4n1c23
CHEMBL504547	O=C1NC(=O)c2ccc(I)cc2/C1=C/NCc1ccc(-c2ccoc2)c(O)c1
CHEMBL554586	O=C(NCCc1c[nH]c2ccc(O)cc12)c1ccc(O)cc1
CHEMBL2310848	CCCC[C@H](CN(O)C=O)C(=O)N1Cc2ccccc2C[C@H]1C(=O)N(C)C
CHEMBL153717	O=C(NCC/C=C/c1ccccc1)c1ccccc1CN1CCc2ccc(O)cc2C1
CHEMBL500308	O=C(Cc1ccccc1)Nc1cccc(C(=O)/C=C(\O)C(=O)O)c1
CHEMBL500377	CN(C)c1ccc(C2=NC(C)(C)C(C)(C)N2O)cc1
CHEMBL500257	CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2ccccc2)cc1O
CHEMBL503606	Oc1ccccc1-c1cc[nH]n1
CHEMBL506649	CCCC[C@H](CN(O)C=O)C(=O)N1CCC[C@H]1c1nc2ccccc2o1
CHEMBL501328	O=C(Nc1cc(Cl)ccc1O)c1ccc(F)cc1
CHEMBL501858	O=C(O)/C(O)=C/C(=O)c1cccc(NC(=O)c2ccc(O)cc2)c1
CHEMBL503508	Cc1ccc(O)c2c1C(=O)CC2
CHEMBL546744	CC12CN3CC(C)(CN(C1)C3c1cc(Br)ccc1O)C2O
CHEMBL507756	Cc1c(O)ccc2c3c(c(=O)oc12)CCCC3
CHEMBL583947	O=c1[nH]c(CNCCc2cccc(O)c2)nc2c1sc1ccc(Cl)cc12
CHEMBL582854	CC1(C)CCC[C@@]2(C)[C@H]1C(=O)C(O)=C(C=O)[C@@H]2/C=C/c1ccoc1
CHEMBL540674	O=C(CC(S)C(F)(F)F)NC(Cc1ccc(O)cc1)C(=O)O
CHEMBL595526	NCCS(=O)(=O)N1CCc2c([nH]c3ccc(Cl)cc23)C1c1cccc(O)c1
CHEMBL564205	Cc1c(O)c(CC[C@H](C)C(=O)O)c(O)c2c1COC2=O
CHEMBL4116120	CC(C)CCN(CCc1cccc(O)c1)CCc1cccc(O)c1
CHEMBL591773	CC1(C)C=Cc2c(ccc3c2OC[C@H]2c4ccc(O)cc4O[C@@H]32)O1
CHEMBL572530	O=c1c(-c2cc(F)c(F)c(F)c2)coc2cc(O)ccc12
CHEMBL583519	Cc1cc(O)cc(-c2ccc(-c3ccc(O)cc3)s2)c1
