ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,PSA,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX ApKa,CX BpKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA Lipinski,HBD Lipinski,#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL1191407,,,Small molecule,0,189.26,,,1.56,21.26,2,1,0,2,Y,0.76,None,10.57,1.39,-1.52,1,MOL,-1,14,2,1,0,189.1154,BASE,C12H15NO,COc1ccc(C23CNCC2C3)cc1
CHEMBL1196705,,,Small molecule,0,150.24,,,2.16,3.88,0,0,0,4,N,0.46,None,None,-1.42,-1.42,1,MOL,-1,11,1,0,0,150.1277,NEUTRAL,C10H16N+,CCCCC[n+]1ccccc1
CHEMBL1196726,,,Small molecule,0,196.25,,,1.92,55.12,3,1,0,7,N,0.68,4.38,6.54,0.65,-0.3,1,MOL,-1,14,4,1,0,196.1212,ACID,C10H16N2O2,O=C(O)CCCCCCn1ccnc1
CHEMBL1196278,,,Small molecule,0,161.25,,,2.15,12.03,1,1,0,1,Y,0.67,None,10.07,2.16,-0.41,1,MOL,-1,12,1,1,0,161.1204,BASE,C11H15N,c1ccc(C2CCCNC2)cc1
CHEMBL1191558,,,Small molecule,0,177.25,,,1.38,46.25,2,2,0,0,Y,0.59,13.89,9.43,1.46,-0.53,1,MOL,-1,13,2,3,0,177.1154,BASE,C11H15NO,NC1CCCc2ccccc2C1O
CHEMBL1191217,,,Small molecule,0,189.3,,,2.54,12.03,1,1,0,4,N,0.72,None,10.32,3.24,0.49,1,MOL,-1,14,1,1,0,189.1517,BASE,C13H19N,CCCCNC1Cc2ccccc2C1
CHEMBL1196987,,,Small molecule,0,195.22,,,1.22,49.77,3,1,0,4,N,0.78,3.91,5.55,-0.23,-1.73,1,MOL,-1,14,4,1,0,195.0895,ACID,C10H13NO3,CN(C)c1ccc(OCC(=O)O)cc1
CHEMBL1196995,,,Small molecule,0,197.19,,,0.08,103.78,4,4,0,3,N,0.55,2.68,9.16,-1.79,-1.8,1,MOL,-1,14,5,5,0,197.0688,ZWITTERION,C9H11NO4,NCC(O)c1ccc(O)c(C(=O)O)c1
CHEMBL319422,,,Small molecule,0,156.21,1,1,0.3,67.06,3,3,0,1,N,0.31,7.93,5.3,0.45,0.35,1,MOL,-1,10,4,3,0,156.047,NEUTRAL,C5H8N4S,C/N=C(\S)c1c[nH]nc1N
CHEMBL86457,,,Small molecule,0,193.24,1,3,2.5,87.14,2,2,0,2,N,0.19,6.39,8.45,0.6,3.57,1,MOL,-1,13,5,2,0,193.0422,ACID,C7H7N5S,[N-]=[N+]=Nc1ccc(/N=C(/N)S)cc1
CHEMBL118958,,,Small molecule,0,134.18,1,1,1.69,20.23,1,1,0,2,Y,0.65,None,None,1.82,1.82,1,MOL,-1,10,1,1,0,134.0732,NEUTRAL,C9H10O,OC/C=C\c1ccccc1
CHEMBL1213476,,,Small molecule,0,179.17,3,4,1.1,66.4,2,2,0,3,N,0.68,4.04,None,1.1,-2.03,1,MOL,-1,13,4,2,0,179.0582,ACID,C9H9NO3,O=C(O)CC(=O)Nc1ccccc1
CHEMBL98943,,,Small molecule,0,187.2,4,5,0.95,53.49,2,2,0,0,Y,0.62,11.15,5.01,0.86,0.86,1,MOL,-1,14,4,2,0,187.0746,NEUTRAL,C10H9N3O,O=C1NC2=Nc3ccccc3CC2N1
CHEMBL1594090,,,Small molecule,0,146.19,7,10,2.29,17.07,1,0,0,2,Y,0.46,None,None,2.37,2.37,1,MOL,-1,11,1,0,0,146.0732,NEUTRAL,C10H10O,C/C(C=O)=C/c1ccccc1
CHEMBL1594149,,,Small molecule,0,171.18,9,14,-1.49,68.4,5,1,0,1,N,0.52,10.02,None,-2.06,-2.06,1,MOL,-1,12,6,2,0,171.0877,NEUTRAL,C6H11N4O2+,Nc1c[n+](N2CCOCC2)no1
CHEMBL1191345,,,Small molecule,0,149.2,,,1.68,61.9,2,3,0,1,N,0.32,None,10.76,0.39,-1.97,1,MOL,-1,11,3,4,0,149.0953,BASE,C8H11N3,CC(=N)Nc1ccc(N)cc1
CHEMBL1584087,,,Small molecule,0,179.22,2,2,1.96,38.33,2,1,0,2,Y,0.75,None,None,1.57,1.57,1,MOL,-1,13,3,1,0,179.0946,NEUTRAL,C10H13NO2,COc1ccc(NC(C)=O)cc1C
CHEMBL110590,,Benzotrithiole 2-Oxide,Small molecule,0,188.3,7,8,2.46,17.07,3,0,0,0,Y,0.58,None,None,2.29,2.29,1,MOL,-1,10,1,0,0,187.9424,None,C6H4OS3,[O-][S+]1Sc2ccccc2S1
CHEMBL1584244,,,Small molecule,0,181.26,13,18,0.94,50.41,2,3,0,2,Y,0.21,7.54,6.74,1.86,1.84,1,MOL,-1,12,3,3,0,181.0674,NEUTRAL,C8H11N3S,NN=C(S)NCc1ccccc1
