init_smiles,init_bde,init_ip,generated_smiles,reward,predicted_bde,predicted_ip,similarity,SA_score,find_in_anti_oxidant,mol_rank,mol_id
CN(C)c1cc(C(C)(C)C)cc(C(C)(C)C)c1O,68.31062974,127.1835241,C=CC(C)(CNO)c1cc2c(c(N(C)C(CN)OC)c1O)OCC21C=C1,1.2024975529536048,71.77600860595703,145.60835063216538,0.22679405173226322,5.551830781203651,,0,0
Cc1cc(N(C)C)c(C)c(C)c1O,73.12989886,127.5851299,C=NCc1c(N(C)C=N)cc(C)c(O)c1CNO,1.3121139934911448,71.84150695800781,162.91797271296085,0.2308521729629305,4.121564464453453,,0,11
Cc1c(N(C)C)cc(O)cc1N(C)C,79.28576215,133.0444582,CN(C=N)c1c(CO)c(O)cc(N2C=NCC2ON)c1CNO,1.2003824113804649,71.84150695800781,162.81953251434265,0.2076486417473022,4.927603283453632,,0,15
Cc1cc(N(C)C)cc(O)c1C,78.48882572,130.6536489,CN(c1cc(O)c(CNO)c2c1C2)C1(CO)C=CON1,1.1106632336212665,71.84150695800781,154.5874013189748,0.20678153272499059,4.865415844332775,,1,6
Cc1c(C)c(O)c(C)c(N(C)C)c1C,75.52070815,131.8333658,C=CN1C=NCc2c(CNO)c(C)c(O)c(C=NO)c21,1.223576402292988,71.84150695800781,152.67041669491977,0.2159886840320332,4.297342368818011,,1,8
Cc1ccc(N(C)C)c(C)c1O,79.21046107,133.7786437,Cc1cc(NC=N)c(N(C)C=N)c(CNO)c1O,1.2260416558708167,71.84151458740234,148.17939723006486,0.22367158969055656,4.185161579838069,,1,11
Cc1c(C)c(N(C)C)c(O)c(N(C)C)c1C,78.19389649,127.4784534,Cc1c(CNO)c(N(C=NC=N)CO)c(O)c2c1cc(NO)n2C=N,1.1566104027591284,71.84150695800781,145.625024450244,0.20319391968414746,4.792064810837275,,2,3
Cc1ccc(O)c(N(C)C)c1,71.90625631,130.8544518,Cc1cc(N2CC2C(N)C=N)c(O)cc1NO,1.3099632507849002,69.42218780517578,164.24431545803844,0.2113819419887722,4.5617238942478355,,2,7
Cc1cccc(O)c1N(C)C,76.26744386,134.7324574,CN(C=N)c1c(CO)c(NO)cc(N)c1OCN,1.308827535413823,69.8397445678711,172.2262373228729,0.2281131565958351,3.959665425991914,,2,9
Cc1cc(N(C)C)c(O)c(C)c1C,69.77272571,126.2987364,CCc1c(CNO)cc2c(c1CN)OCN2C#CC=CC=O,1.118651458812555,71.67794799804688,149.18885186673552,0.2320697741249721,4.170591347261199,,2,13
