rank 0/1 started on maple-1.maple.cluster
All ranks is initialized
rank: 0 init_mols: ['C(C(=O)O)N(CC(=O)O)CC(=O)O']
episodes: 0, episode time: 0.628, remaining time: 124.935, reward: 0.157, loss: None
episodes: 1, episode time: 1.207, remaining time: 239.049, reward: -0.239, loss: None
episodes: 2, episode time: 0.666, remaining time: 131.148, reward: 0.356, loss: None
episodes: 3, episode time: 1.159, remaining time: 227.137, reward: 1.365, loss: None
episodes: 4, episode time: 1.075, remaining time: 209.707, reward: 0.017, loss: None
episodes: 5, episode time: 1.167, remaining time: 226.443, reward: 1.401, loss: None
episodes: 6, episode time: 0.527, remaining time: 101.755, reward: -0.213, loss: None
episodes: 7, episode time: 0.517, remaining time: 99.298, reward: 0.257, loss: None
episodes: 8, episode time: 0.885, remaining time: 169.019, reward: 1.263, loss: None
episodes: 9, episode time: 0.583, remaining time: 110.735, reward: 1.666, loss: None
episodes: 10, episode time: 0.793, remaining time: 149.808, reward: 1.870, loss: None
episodes: 11, episode time: 0.374, remaining time: 70.328, reward: 0.187, loss: None
episodes: 12, episode time: 0.937, remaining time: 175.162, reward: 1.564, loss: None
episodes: 13, episode time: 0.643, remaining time: 119.570, reward: 0.123, loss: None
episodes: 14, episode time: 1.147, remaining time: 212.233, reward: -0.152, loss: 15.858987808227539
episodes: 15, episode time: 1.224, remaining time: 225.169, reward: 1.474, loss: 11.940370559692383
episodes: 16, episode time: 1.104, remaining time: 201.992, reward: 0.257, loss: 8.04009516040484
episodes: 17, episode time: 1.188, remaining time: 216.204, reward: 2.022, loss: 6.083561677485704
episodes: 18, episode time: 1.370, remaining time: 247.889, reward: 1.742, loss: 4.904163119196892
episodes: 19, episode time: 0.960, remaining time: 172.758, reward: 0.028, loss: 5.41925672441721
episodes: 20, episode time: 1.153, remaining time: 206.347, reward: 0.217, loss: 4.671574575560434
episodes: 21, episode time: 1.215, remaining time: 216.211, reward: 1.257, loss: 4.106136418879032
episodes: 22, episode time: 1.235, remaining time: 218.650, reward: 0.062, loss: 3.6647744642363653
episodes: 23, episode time: 1.131, remaining time: 198.976, reward: 1.470, loss: 3.314738619327545
episodes: 24, episode time: 0.920, remaining time: 161.040, reward: 1.212, loss: 3.0269276052713394
episodes: 25, episode time: 1.295, remaining time: 225.359, reward: -0.138, loss: 3.4363686678310237
episodes: 26, episode time: 0.950, remaining time: 164.370, reward: 0.028, loss: 3.784176609837092
episodes: 27, episode time: 0.899, remaining time: 154.671, reward: -0.258, loss: 3.524607951087611
episodes: 28, episode time: 0.949, remaining time: 162.331, reward: -0.249, loss: 4.337858727574348
episodes: 29, episode time: 1.355, remaining time: 230.375, reward: 1.479, loss: 5.54026975017041
episodes: 30, episode time: 0.914, remaining time: 154.506, reward: 2.060, loss: 5.2219357771032
episodes: 31, episode time: 1.043, remaining time: 175.279, reward: 1.410, loss: 4.940814655688074
episodes: 32, episode time: 0.588, remaining time: 98.267, reward: 1.416, loss: 5.098443459523351
episodes: 33, episode time: 0.684, remaining time: 113.608, reward: 1.469, loss: 4.85053938627243
episodes: 34, episode time: 0.876, remaining time: 144.564, reward: 1.445, loss: 4.6261306802431745
episodes: 35, episode time: 0.808, remaining time: 132.513, reward: 1.931, loss: 5.133649639107964
episodes: 36, episode time: 1.163, remaining time: 189.562, reward: 0.076, loss: 4.915949076414108
episodes: 37, episode time: 1.197, remaining time: 193.988, reward: -0.278, loss: 5.042214116702477
episodes: 38, episode time: 0.592, remaining time: 95.367, reward: 0.081, loss: 5.158214513063431
episodes: 39, episode time: 0.973, remaining time: 155.737, reward: -0.421, loss: 4.964555323697054
episodes: 40, episode time: 0.639, remaining time: 101.648, reward: 0.072, loss: 4.785794764757156
episodes: 41, episode time: 0.550, remaining time: 86.932, reward: 0.540, loss: 4.61845455771046
episodes: 42, episode time: 0.917, remaining time: 143.915, reward: 0.278, loss: 4.4637561237503744
episodes: 43, episode time: 1.100, remaining time: 171.563, reward: 1.678, loss: 4.578639799604813
episodes: 44, episode time: 0.420, remaining time: 65.051, reward: 1.634, loss: 4.68568874775402
episodes: 45, episode time: 0.943, remaining time: 145.255, reward: 1.681, loss: 4.542490347288549
episodes: 46, episode time: 1.273, remaining time: 194.826, reward: 1.678, loss: 4.644384368802562
episodes: 47, episode time: 0.564, remaining time: 85.770, reward: 0.478, loss: 4.51083565371878
episodes: 48, episode time: 0.435, remaining time: 65.626, reward: 1.640, loss: 4.607634904554912
episodes: 49, episode time: 0.978, remaining time: 146.631, reward: 0.338, loss: 4.698689095675945
episodes: 50, episode time: 0.694, remaining time: 103.354, reward: 1.709, loss: 4.78467292318473
episodes: 51, episode time: 0.527, remaining time: 77.955, reward: 1.710, loss: 4.660821516262858
episodes: 52, episode time: 0.712, remaining time: 104.700, reward: 0.149, loss: 4.542748634058696
episodes: 53, episode time: 0.789, remaining time: 115.159, reward: 1.806, loss: 4.626719843782484
episodes: 54, episode time: 0.529, remaining time: 76.736, reward: 1.693, loss: 4.51657271039922
episodes: 55, episode time: 0.615, remaining time: 88.614, reward: 1.619, loss: 4.411174034078916
episodes: 56, episode time: 0.522, remaining time: 74.626, reward: 1.754, loss: 4.310556958581126
episodes: 57, episode time: 1.114, remaining time: 158.128, reward: 1.826, loss: 4.214045728641477
episodes: 58, episode time: 0.520, remaining time: 73.293, reward: 1.752, loss: 4.122192445562946
episodes: 59, episode time: 0.529, remaining time: 74.090, reward: 1.723, loss: 4.033699086016935
episodes: 60, episode time: 0.712, remaining time: 98.905, reward: 1.717, loss: 3.949216222667948
episodes: 61, episode time: 0.526, remaining time: 72.528, reward: 1.684, loss: 3.867900380709519
episodes: 62, episode time: 0.529, remaining time: 72.471, reward: 1.729, loss: 3.7901070144559657
episodes: 63, episode time: 0.627, remaining time: 85.329, reward: 1.954, loss: 3.8714148213714363
episodes: 64, episode time: 0.538, remaining time: 72.606, reward: 1.906, loss: 3.949496874841405
episodes: 65, episode time: 0.646, remaining time: 86.558, reward: 1.923, loss: 3.8745639688120437
episodes: 66, episode time: 0.546, remaining time: 72.651, reward: 1.899, loss: 3.802411844989039
episodes: 67, episode time: 0.549, remaining time: 72.511, reward: 1.896, loss: 3.732960019605579
episodes: 68, episode time: 0.541, remaining time: 70.844, reward: 1.943, loss: 3.6658361237157475
episodes: 69, episode time: 0.542, remaining time: 70.421, reward: 1.914, loss: 3.6012835893779993
episodes: 70, episode time: 0.538, remaining time: 69.455, reward: 1.924, loss: 3.5389096090537415
episodes: 71, episode time: 0.536, remaining time: 68.623, reward: 1.926, loss: 3.4785184244914302
episodes: 72, episode time: 0.784, remaining time: 99.518, reward: 1.572, loss: 3.552369283543805
episodes: 73, episode time: 0.424, remaining time: 53.480, reward: 1.615, loss: 3.4936765507484475
episodes: 74, episode time: 0.521, remaining time: 65.115, reward: 1.640, loss: 3.4368538022896304
episodes: 75, episode time: 0.702, remaining time: 87.053, reward: 1.853, loss: 3.6338220899023357
episodes: 76, episode time: 0.416, remaining time: 51.139, reward: 1.602, loss: 3.700686071304575
episodes: 77, episode time: 0.425, remaining time: 51.799, reward: 1.612, loss: 3.643486926390324
episodes: 78, episode time: 0.422, remaining time: 51.107, reward: 1.611, loss: 3.5879358428028914
episodes: 79, episode time: 0.420, remaining time: 50.451, reward: 1.653, loss: 3.534156541086056
episodes: 80, episode time: 0.519, remaining time: 61.770, reward: 1.609, loss: 3.4817245016847527
episodes: 81, episode time: 0.438, remaining time: 51.719, reward: 1.636, loss: 3.43099013620111
episodes: 82, episode time: 0.433, remaining time: 50.667, reward: 1.603, loss: 3.381577000642816
episodes: 83, episode time: 0.424, remaining time: 49.127, reward: 1.633, loss: 3.3335801684962854
episodes: 84, episode time: 0.427, remaining time: 49.105, reward: 1.634, loss: 3.2870074377565737
episodes: 85, episode time: 0.514, remaining time: 58.639, reward: 1.633, loss: 3.3500960586437336
episodes: 86, episode time: 0.425, remaining time: 48.081, reward: 1.412, loss: 3.304590995742442
episodes: 87, episode time: 0.432, remaining time: 48.398, reward: 1.691, loss: 3.2601575395847493
episodes: 88, episode time: 0.429, remaining time: 47.570, reward: 1.707, loss: 3.2169520338873068
episodes: 89, episode time: 0.426, remaining time: 46.859, reward: 1.747, loss: 3.1747872754563824
episodes: 90, episode time: 0.425, remaining time: 46.284, reward: 1.716, loss: 3.2351339501631142
episodes: 91, episode time: 0.423, remaining time: 45.721, reward: 1.572, loss: 3.193866087135692
episodes: 92, episode time: 0.417, remaining time: 44.628, reward: 1.713, loss: 3.1535509463187448
episodes: 93, episode time: 0.434, remaining time: 46.019, reward: 1.660, loss: 3.114345859817695
episodes: 94, episode time: 0.440, remaining time: 46.173, reward: 1.704, loss: 3.0760627950852117
episodes: 95, episode time: 0.446, remaining time: 46.381, reward: 1.661, loss: 3.0386940347053475
episodes: 96, episode time: 0.624, remaining time: 64.253, reward: 1.626, loss: 3.0024183080026723
episodes: 97, episode time: 0.439, remaining time: 44.749, reward: 1.551, loss: 3.0597534999140494
episodes: 98, episode time: 0.433, remaining time: 43.720, reward: 1.709, loss: 3.0238799073349902
episodes: 99, episode time: 0.536, remaining time: 53.573, reward: 1.609, loss: 2.9888321029152287
episodes: 100, episode time: 0.427, remaining time: 42.317, reward: 1.710, loss: 2.954590088698542
episodes: 101, episode time: 0.427, remaining time: 41.892, reward: 1.728, loss: 3.0098588504108856
episodes: 102, episode time: 0.424, remaining time: 41.146, reward: 1.611, loss: 2.9761743250020434
episodes: 103, episode time: 0.884, remaining time: 84.823, reward: 1.637, loss: 2.943274518278324
episodes: 104, episode time: 0.452, remaining time: 42.921, reward: 1.577, loss: 2.911096788523207
episodes: 105, episode time: 0.455, remaining time: 42.783, reward: 1.609, loss: 2.8796291077691736
episodes: 106, episode time: 0.722, remaining time: 67.157, reward: 1.998, loss: 2.8488091726096405
episodes: 107, episode time: 0.431, remaining time: 39.637, reward: 1.993, loss: 2.901627283999102
episodes: 108, episode time: 0.442, remaining time: 40.235, reward: 1.637, loss: 2.8712754078797604
episodes: 109, episode time: 0.531, remaining time: 47.758, reward: 1.720, loss: 2.8415144308140348
episodes: 110, episode time: 0.460, remaining time: 40.910, reward: 1.728, loss: 2.8123564624237183
episodes: 111, episode time: 0.436, remaining time: 38.390, reward: 1.590, loss: 2.7838121784033674
episodes: 112, episode time: 0.542, remaining time: 47.141, reward: 1.631, loss: 2.834634762586593
episodes: 113, episode time: 0.428, remaining time: 36.840, reward: 1.623, loss: 2.88444293118082
episodes: 114, episode time: 0.429, remaining time: 36.477, reward: 1.682, loss: 2.8560485939154088
episodes: 115, episode time: 0.424, remaining time: 35.582, reward: 1.702, loss: 2.828157689760202
episodes: 116, episode time: 0.426, remaining time: 35.353, reward: 1.688, loss: 2.8007891593971155
episodes: 117, episode time: 0.432, remaining time: 35.451, reward: 1.697, loss: 2.773976505957902
episodes: 118, episode time: 0.411, remaining time: 33.277, reward: 2.057, loss: 2.8219775665462725
episodes: 119, episode time: 0.417, remaining time: 33.356, reward: 2.077, loss: 2.7954508418410593
episodes: 120, episode time: 0.422, remaining time: 33.333, reward: 2.016, loss: 2.7694297839373907
episodes: 121, episode time: 0.413, remaining time: 32.251, reward: 2.013, loss: 2.888430946385833
episodes: 122, episode time: 0.451, remaining time: 34.695, reward: 2.071, loss: 2.862020531242047
