smiles,success,failed
O=C(O)CN(CC(=O)O)CC(=O)O, 997, 3
O=C(O)CN(CC(=O)O)C(=O)C(=O)O, 999, 1
COC(=O)CN(CC(=O)O)C(=O)C(=O)O, 1000, 0
C=C(C(=O)OC)N(CC(=O)O)C(=O)C(=O)O, 996, 4
C=C(C(=O)OC)N(C)C(=O)C(=O)O, 998, 2
C=C(C(=O)OC)N(C)C(=O)C(O)O, 998, 2
C=C(C(=O)OCN)N(C)C(=O)C(O)O, 998, 2
C=C(C(=O)OC(N)=O)N(C)C(=O)C(O)O, 997, 3
C=C(C(=O)OC(N)=O)N(C)C(=O)CO, 999, 1
CN(CC(=O)OC(N)=O)C(=O)CO, 1000, 0
CN(C(=O)CO)C1=NC(=O)OC1=O, 998, 2
CN(C(=O)CO)C1=NC(=O)OC1O, 1000, 0
CN(C(=O)CO)C1=NC(=O)OC1, 999, 1
CN(C(=O)C(N)O)C1=NC(=O)OC1, 1000, 0
CN(C(=O)C(N)O)C1=NC(=O)OC1O, 999, 1
CN(C(=O)C(N)O)C(=NC=O)C(O)O, 1000, 0
NC(O)C(=O)N1CC(=O)N=C1C(O)O, 1000, 0
NC(=O)CN(CC(O)O)C(=O)C(N)O, 1000, 0
NC(O)C(=O)N1CC(=O)NC(O)(O)C1, 1000, 0
NC1OC2C(=O)NC(O)(O)CN2C1=O, 996, 4
NC1OC2CNC(O)(O)CN2C1=O, 993, 7
N=C1OC2CNC(O)(O)CN2C1=O, 996, 4
N=C1OC2CNC(O)(O)C(=N)N2C1=O, 999, 1
N=C1OC2CNC(O)(O)C(=N)N2C1O, 998, 2
N=C(CO)OC1CNC(O)(O)C(=N)N1, 999, 1
N=C1COC2(CNC(O)(O)C(=N)N2)O1, 992, 8
COC1(O)NCC2(NC1=N)OCC(=N)O2, 997, 3
C=C1NC(O)(OC)C(=N)NC12OCC(=N)O2, 990, 10
COC1(O)NC(C)C2(NC1=N)OCC(=N)O2, 993, 7
COC1(O)NC(C)C2(OCC(=N)O2)N(C)C1=N, 996, 4
COC(O)NC(C)C1(N(C)C=N)OCC(=N)O1, 1000, 0
COC(O)NC1CC(=N)N(C)C12OCC(=N)O2, 992, 8
COC(O)NC1CC(=N)N(C)C12OCC(=NO)O2, 994, 6
COC(O)NC1CC(=N)N2CC3OC12OC3=NO, 979, 21
CN=C1CC(NC(O)OC)C23OC(=NO)C(CN12)O3, 974, 26
CN=C1CC(NC(O)OC=O)C23OC(=NO)C(CN12)O3, 977, 23
C#CN=C1CC(NC(O)OC=O)C23OC(=NO)C(CN12)O3, 706, 294
C#CN=C1CC(NC(ON)OC=O)C23OC(=NO)C(CN12)O3, 688, 312
C#CN=C1CC(N(C)C(ON)OC=O)C23OC(=NO)C(CN12)O3, 730, 270
C#CN=C1CC(N(CC)C(ON)OC=O)C23OC(=NO)C(CN12)O3, 626, 374
C#CN=C1CC(N(CC)C2(OC=O)NO2)C23OC(=NO)C(CN12)O3, 634, 366
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
O=C(O)CN1C(C(=O)O)C1C(=O)O, 999, 1
O=C(O)CN1C(C(=O)O)=C1C(=O)O, 990, 10
CC(C(=O)O)N1C(C(=O)O)=C1C(=O)O, 1000, 0
COC(=O)C(C)N1C(C(=O)O)=C1C(=O)O, 1000, 0
COC(=O)C(C=N)N1C(C(=O)O)=C1C(=O)O, 998, 2
COC(=O)C1=C(C(=O)O)N1C(C=N)C(=O)OC, 999, 1
COC(=O)C1=C(C(=O)O)N1C(C(=N)O)C(=O)OC, 1000, 0
CCOC(=O)C(C(=N)O)N1C(C(=O)O)=C1C(=O)OC, 1000, 0
COC(=O)C1=C(C(=O)O)N1C(C(=N)O)C(=O)OCCN, 1000, 0
CCOC(=O)C1=C(C(=O)O)N1C(C(=N)O)C(=O)OCCN, 1000, 0
N#CCOC(=O)C1=C(C(=O)O)N1C(C(=N)O)C(=O)OCCN, 997, 3
N#CCOC(=O)C=C(NC(C(=N)O)C(=O)OCCN)C(=O)O, 729, 271
N=C(O)C(N)C(=O)OCCN, 999, 1
N=C(CN)OC(=O)C(N)C(=N)O, 1000, 0
N=C(O)C(N)C(=O)OCCN, 1000, 0
NCCOC(=O)C(N)CO, 1000, 0
NC#COC(=O)C(N)CO, 974, 26
NC#COC(=O)C1N=C1O, 988, 12
NC=COC(=O)C1N=C1O, 1000, 0
CC(=CN)OC(=O)C1N=C1O, 999, 1
NC=C1CC2(N=C2O)C(=O)O1, 1000, 0
N=C=C1CC2(N=C2O)C(=O)O1, 1000, 0
N=C=C1OC(=O)C2(N=C2O)C1=O, 999, 1
NC=C1OC(=O)C2(N=C2O)C1=O, 1000, 0
NC=C(OC=O)C(=O)C1N=C1O, 999, 1
NC=C(OC=O)C(=O)C1C=N1, 1000, 0
CC1(C(=O)C(=CN)OC=O)C=N1, 989, 11
CNC=C(OC=O)C(=O)C1(C)C=N1, 982, 18
CNC(C)=C(OC=O)C(=O)C1(C)C=N1, 986, 14
CC(NCN)=C(OC=O)C(=O)C1(C)C=N1, 982, 18
CC(NCN)=C(OC=O)C(=O)C1(C)N=C1N, 979, 21
C=C(N)NC(C)=C(OC=O)C(=O)C1(C)N=C1N, 979, 21
C=C(N)NC(C#N)=C(OC=O)C(=O)C1(C)N=C1N, 746, 254
C=C(N)N(O)C(C#N)=C(OC=O)C(=O)C1(C)N=C1N, 768, 232
C=C(N)N(O)C(C#N)=C(OC=O)C(=O)C(C)C(=N)N, 982, 18
C=C(N)N(O)C(C#N)=C(OC=O)C(=O)C(CO)C(=N)N, 976, 24
C=C(N)N(O)C(C#N)=C(OC=O)C(=O)C(C)(CO)C(=N)N, 978, 22
C#CC(CO)(C(=N)N)C(=O)C(OC=O)=C(C#N)N(O)C(=C)N, 811, 189
C#CC(COC)(C(=N)N)C(=O)C(OC=O)=C(C#N)N(O)C(=C)N, 822, 178
C#CC1(C(=N)N)C(=O)C(=C(C#N)N(O)C(=C)N)OC(=O)C1OC, 863, 137
O=C(O)CN(CC(=O)O)CC(=O)O, 999, 1
N=C(C(=O)O)N(CC(=O)O)CC(=O)O, 998, 2
N=C(C(=O)O)N(CC(=O)O)C(N)C(=O)O, 998, 2
NC(C(=O)O)N(CC(=O)O)C(=NO)C(=O)O, 998, 2
NC(C(=O)O)N1C(C(=O)O)=NOC1C(=O)O, 999, 1
O=C(O)C1=NOC(C(=O)O)N1, 979, 21
O=C(O)C1=NOCN1, 1000, 0
CON=C(N)C(=O)O, 999, 1
CON=C(NO)C(=O)O, 998, 2
O=CON=C(NO)C(=O)O, 1000, 0
O=C(O)C(=NO)NO, 999, 1
O=C(O)C(=NO)NO, 1000, 0
CON=C(NO)C(=O)O, 1000, 0
CON=C(N)C(=O)O, 1000, 0
C#CON=C(N)C(=O)O, 944, 56
C#CON=C(N)C=O, 956, 44
C#CON=CN, 978, 22
CCON=CN, 944, 56
NC1=NOCC1, 999, 1
C1=NOCC1, 999, 1
CC1=NOCC1, 1000, 0
CC1CCON1, 1000, 0
CONC(C)C, 999, 1
CONC(C)CN, 1000, 0
CONC(CN)CN, 1000, 0
CON1C(N)C1CN, 1000, 0
NC1C2CNCON12, 999, 1
NCC1CNCON1, 1000, 0
NCC1CNC(O)ON1, 1000, 0
NCC(N)CNC(O)O, 1000, 0
CNCC(N)CNC(O)O, 1000, 0
CNCCCNC(O)O, 1000, 0
CNCCCNC(=O)O, 1000, 0
C#CNCCCNC(=O)O, 858, 142
C#CN(O)CCCNC(=O)O, 857, 143
C#CN(O)CCC(N)NC(=O)O, 852, 148
C#CN1CCC(N)N(C(=O)O)O1, 922, 78
NC1CCN(C#CO)ON1C(=O)O, 937, 63
NC1C(O)CN(C#CO)ON1C(=O)O, 935, 65
CNC1C(O)CN(C#CO)ON1C(=O)O, 752, 248
CNC1=C(O)CN(C#CO)ON1C(=O)O, 945, 55
O=C(O)CN(CC(=O)O)CC(=O)O, 997, 3
O=C(O)CN(CCO)CC(=O)O, 1000, 0
O=C(O)CN(CC(=O)O)CC(=O)O, 998, 2
O=C(O)CN(CCO)CC(=O)O, 999, 1
O=C(O)CN1CC(=O)OC1CO, 1000, 0
CC(O)C1OC(=O)CN1CC(=O)O, 999, 1
CC(O)C1(N)OC(=O)CN1CC(=O)O, 1000, 0
COC(=O)CN1CC(=O)OC1(N)C(C)O, 1000, 0
CC(O)C1(N)OC(=O)C2COC(=O)CN21, 988, 12
CC(O)C1(N=O)OC(=O)C2COC(=O)CN21, 973, 27
O=NC12OC(=O)C3COC(=O)C(CC1O)N32, 958, 42
O=NC1OC(=O)C2COC(=O)C(CC1O)N2, 919, 81
O=NC1OC(=O)C2=NC(CC1O)C(=O)OC2, 928, 72
O=NC1OC(=O)C2=NC(C=C1O)C(=O)OC2, 934, 66
NOC1=CC2N=C(COC2=O)C(=O)OC1N=O, 923, 77
NOC1=CC2N=C(COC2=O)C(=O)OC1(O)N=O, 946, 54
NOC1=C(N)C2N=C(COC2=O)C(=O)OC1(O)N=O, 938, 62
CNOC1=C(N)C2N=C(COC2=O)C(=O)OC1(O)N=O, 944, 56
C=CNOC1=C(N)C2N=C(COC2=O)C(=O)OC1(O)N=O, 943, 57
C=C=CNOC1=C(N)C2N=C(COC2=O)C(=O)OC1(O)N=O, 960, 40
C=C=CNOC1=C(N)C2N=C(C(=O)OC1(O)N=O)C(N)OC2=O, 951, 49
C=C=CNOC1=C(N)C23N=C(C(=O)OC1(N=O)O2)C(N)OC3=O, 545, 455
C=CCNOC1=C(N)C23N=C(C(=O)OC1(N=O)O2)C(N)OC3=O, 512, 488
CNOC1=C(N)C23N=C(C(=O)OC1(N=O)O2)C(N)OC3=O, 510, 490
CNOC1=C(N)C2(C(=O)OCN)N=CC(=O)OC1(N=O)O2, 747, 253
C=NC1(C(=O)OCN)OC(N=O)(OC=O)C(ONC)=C1N, 1000, 0
C=NC1(C(=O)OC#N)OC(N=O)(OC=O)C(ONC)=C1N, 1000, 0
C=NC1(C(=O)OC#N)OC2(N=O)OC(=O)N(C)OC2=C1N, 991, 9
C=NC(C(=O)OC#N)C(N)=C1ON(C)C(=O)OC1(O)N=O, 998, 2
C=NC(C(=O)OC#N)C(N)=C1ON(C)C(=O)OC1(O)N=O, 996, 4
C=NC(C(=O)OC)C(N)=C1ON(C)C(=O)OC1(O)N=O, 999, 1
C=NC(C(=O)OC)C(N)=C(ON(C)C(=O)O)C(O)N=O, 991, 9
C=NC(C(=O)OC=N)C(N)=C(ON(C)C(=O)O)C(O)N=O, 997, 3
